Added by Katie,ImportRange formula in cell B3,,,,,Added by Katie,,,,,,,,,0,0,0
,,,,,,,,PRODUCT MATERIAL & COMPONENT VALUES,,,Packaging only,,,,RESULTS FOR CHARTS,,
Category Assigned for selection list,Material category,Material name,Impact value (multiply),Impact value (add),Impact unit,Auto-list taken from column E,,Density value,Density unit,Unit weight (g),Manufacturing Process,,,,Baseline *Please Make a Copy Before Editing*,*Design 01*,*Design 02*
Plastics,Plastic - ABS,50% PCR ABS (2% PET Fiber),0.002990, ,kgCO2e/g,g,TRUE,,,,,,50% PCR ABS (2% PET Fiber),,,,
Plastics,Plastic - HIPS,HIPS,0.003554, ,kgCO2e/g,g,TRUE,1.06,g/cm3,,,,HIPS,,,,
Plastics,Plastic - HIPS,65% PCR HIPS,0.002228, ,kgCO2e/g,g,TRUE,1.06,g/cm3,,,,65% PCR HIPS,,,,
Plastics,Plastic - HIPS,75% PCR HIPS,0.002024, ,kgCO2e/g,g,TRUE,1.06,g/cm3,,,,75% PCR HIPS,,,,
Plastics,Plastic - HIPS,85% PCR HIPS,0.001820, ,kgCO2e/g,g,TRUE,1.06,g/cm3,,,,85% PCR HIPS,,,,
Plastics,Plastic - HIPS,95% PCR HIPS,0.001616, ,kgCO2e/g,g,TRUE,1.06,g/cm3,,,,95% PCR HIPS,,,,
Plastics,Plastic - Others,Epoxy Resin,0.006902, ,kgCO2e/g,g,TRUE,,,,,,Epoxy Resin,,,,
Plastics,Plastic - Others,Epoxy/GF (1:1),0.004845, ,kgCO2e/g,g,TRUE,,,,,,Epoxy/GF (1:1),,,,
Plastics,Plastic - Others,FRP PA 66 (30% GF),0.007082, ,kgCO2e/g,g,TRUE,,,,,,FRP PA 66 (30% GF),,,,
Plastics,Plastic - Others,"PA 66, Nylon 66",0.008928, ,kgCO2e/g,g,TRUE,1.14,g/cm3,,,,"PA 66, Nylon 66",,,,
Plastics,Plastic - Others,PBT,0.005777, ,kgCO2e/g,g,TRUE,1.31,g/cm3,,,,PBT,,,,
Plastics,Plastic - Others,PMMA,0.005022, ,kgCO2e/g,g,TRUE,,,,,,PMMA,,,,
Plastics,Plastic - Others,POM,0.004467, ,kgCO2e/g,g,TRUE,1.42,g/cm3,,,,POM,,,,
Plastics,Plastic - Others,POM + 20% GF,0.004136, ,kgCO2e/g,g,TRUE,,,,,,POM + 20% GF,,,,
Plastics,Plastic - PC,PC,0.005221, ,kgCO2e/g,g,TRUE,1.2,g/cm3,,,,PC,,,,
Plastics,Plastic - PC,30% PCR PC,0.004109, ,kgCO2e/g,g,TRUE,1.2,g/cm3,,,,30% PCR PC,,,,
Plastics,Plastic - PC,35% PCR PC,0.003924, ,kgCO2e/g,g,TRUE,1.2,g/cm3,,,,35% PCR PC,,,,
Plastics,Plastic - PC,50% PCR PC,0.003367, ,kgCO2e/g,g,TRUE,1.2,g/cm3,,,,50% PCR PC,,,,
Plastics,Plastic - PC,65% PCR PC,0.002934, ,kgCO2e/g,g,TRUE,1.2,g/cm3,,,,65% PCR PC,,,,
Plastics,Plastic - PC,70% PCR PC,0.002759, ,kgCO2e/g,g,TRUE,1.2,g/cm3,,,,70% PCR PC,,,,
Plastics,Plastic - PC,85% PCR PC,0.002070, ,kgCO2e/g,g,TRUE,1.2,g/cm3,,,,85% PCR PC,,,,
Plastics,Plastic - PC,90% PCR PC,0.001884, ,kgCO2e/g,g,TRUE,1.2,g/cm3,,,,90% PCR PC,,,,
Plastics,Plastic - PC,PC/GF (7:3),0.004490, ,kgCO2e/g,g,TRUE,1.41,g/cm3,,,,PC/GF (7:3),,,,
Plastics,Plastic - PC/ABS,PC/ABS (6:4),0.004890, ,kgCO2e/g,g,TRUE,,,,,,PC/ABS (6:4),,,,
Plastics,Plastic - PC/ABS,PC/ABS (7:3),0.004972, ,kgCO2e/g,g,TRUE,,,,,,PC/ABS (7:3),,,,
Plastics,Plastic - PC/ABS,PC/ABS (8:2),0.005055, ,kgCO2e/g,g,TRUE,,,,,,PC/ABS (8:2),,,,
Plastics,Plastic - PC/ABS,30% PCR PC/ABS,0.003943, ,kgCO2e/g,g,TRUE,,,,,,30% PCR PC/ABS,,,,
Plastics,Plastic - PC/ABS,35% PCR PC/ABS + 15% GF,0.003479, ,kgCO2e/g,g,TRUE,,,,,,35% PCR PC/ABS + 15% GF,,,,
Plastics,Plastic - PC/ABS,50% PCR PC/ABS,0.003326, ,kgCO2e/g,g,TRUE,,,,,,50% PCR PC/ABS,,,,
Plastics,Plastic - PC/ABS,65% PCR PC/ABS,0.002646, ,kgCO2e/g,g,TRUE,,,,,,65% PCR PC/ABS,,,,
Plastics,Plastic - PC/ABS,75% PCR PC/ABS,0.002399, ,kgCO2e/g,g,TRUE,,,,,,75% PCR PC/ABS,,,,
Plastics,Plastic - PC/ABS,85% PCR PC/ABS,0.002028, ,kgCO2e/g,g,TRUE,,,,,,85% PCR PC/ABS,,,,
Plastics,Plastic - PET,PET,0.003943, ,kgCO2e/g,g,TRUE,1.34,g/cm3,,,,PET,,,,
Plastics,Plastic - PET,30% rPET,0.003429, ,kgCO2e/g,g,TRUE,1.34,g/cm3,,,,30% rPET,,,,
Plastics,Plastic - PET,40% rPET,0.003181, ,kgCO2e/g,g,TRUE,1.34,g/cm3,,,,40% rPET,,,,
Plastics,Plastic - PET,50% rPET,0.003014, ,kgCO2e/g,g,TRUE,1.34,g/cm3,,,,50% rPET,,,,
Plastics,Plastic - PET,100% rPET,0.002085, ,kgCO2e/g,g,TRUE,1.34,g/cm3,,,,100% rPET,,,,
Plastics,Plastic - Sheet,100% rPET Sheet,0.001688, ,kgCO2e/g,g,TRUE,1.34,g/cm3,,,,100% rPET Sheet,,,,
Plastics,Plastic - Sheet,40% rPET Sheet,0.002804, ,kgCO2e/g,g,TRUE,1.34,g/cm3,,,,40% rPET Sheet,,,,
Plastics,Plastic - Sheet,"PC Sheet, Mylar",0.004836, ,kgCO2e/g,g,TRUE,,,,,,"PC Sheet, Mylar",,,,
Plastics,Plastic - Sheet,PET Sheet,0.003548, ,kgCO2e/g,g,TRUE,1.34,g/cm3,,,,PET Sheet,,,,
DfS Bonus,Surface Treatment,"Aluminum Anodization, Keyboard Top Cases",0.000005, ,kgCO2e/mm2,mm2,TRUE,0,g/mm2,,,,"Aluminum Anodization, Keyboard Top Cases",,,,
DfS Bonus,Surface Treatment,"Aluminum Anodization, Simulation Racing",0.000009, ,kgCO2e/mm2,mm2,TRUE,0,g/mm2,,,,"Aluminum Anodization, Simulation Racing",,,,
DfS Bonus,Surface Treatment,"Powder Coating, Aluminium",0.000003, ,kgCO2e/mm2,mm2,TRUE,0,g/mm2,,,,"Powder Coating, Aluminium",,,,
DfS Bonus,Surface Treatment,"Powder Coating, Steel",0.000004, ,kgCO2e/mm2,mm2,TRUE,0,g/mm2,,,,"Powder Coating, Steel",,,,
Fabrics,Textile,100% rPET Fibre,0.001560, ,kgCO2e/g,g,TRUE,,,,,,100% rPET Fibre,,,,
Fabrics,Textile,Animal Leather (0.16 g/cm2),0.001490, ,kgCO2e/cm2,cm2,TRUE,0.16,g/cm2,,,,Animal Leather (0.16 g/cm2),,,,
Fabrics,Textile,PA 66 (Nylon 66) Fibre,0.010612, ,kgCO2e/g,g,TRUE,,,,,,PA 66 (Nylon 66) Fibre,,,,
Fabrics,Textile,PET Fibre,0.004798, ,kgCO2e/g,g,TRUE,,,,,,PET Fibre,,,,
Fabrics,Textile,"PU Leather, SB  (0.08 g/cm2)",0.001300, ,kgCO2e/cm2,cm2,TRUE,0.08,g/cm2,,,,"PU Leather, SB  (0.08 g/cm2)",,,,
Fabrics,Textile,"PU Leather, SB, with rPET  (0.08 g/cm2)",0.001240, ,kgCO2e/cm2,cm2,TRUE,0.08,g/cm2,,,,"PU Leather, SB, with rPET  (0.08 g/cm2)",,,,
Fabrics,Textile,"PU Leather, WB  (0.0335 g/cm2)",0.000290, ,kgCO2e/cm2,cm2,TRUE,0.0335,g/cm2,,,,"PU Leather, WB  (0.0335 g/cm2)",,,,
Fabrics,Textile,"PU Leather, WB, with rPET  (0.0335 g/cm2)",0.000250, ,kgCO2e/cm2,cm2,TRUE,0.0335,g/cm2,,,,"PU Leather, WB, with rPET  (0.0335 g/cm2)",,,,
Fabrics,Textile,Silicone Leather  (0.0831 g/cm2),0.000720, ,kgCO2e/cm2,cm2,TRUE,0.0831,g/cm2,,,,Silicone Leather  (0.0831 g/cm2),,,,
Fabrics,Textile,"Silicone Leather, with rPET  (0.0831 g/cm2)",0.000650, ,kgCO2e/cm2,cm2,TRUE,0.0831,g/cm2,,,,"Silicone Leather, with rPET  (0.0831 g/cm2)",,,,
Metals,Metal - Copper,Copper Wire,0.008066, ,kgCO2e/g,g,TRUE,8.94,g/cm3,,,,Copper Wire,,,,
Metals,Metal - Copper,50% PCR Copper Wire,0.004741, ,kgCO2e/g,g,TRUE,8.94,g/cm3,,,,50% PCR Copper Wire,,,,
Metals,Metal - Copper,100% PCR Copper Wire,0.001416, ,kgCO2e/g,g,TRUE,8.94,g/cm3,,,,100% PCR Copper Wire,,,,
DfS Bonus,Surface Treatment,"Painting, Generic  [Without Process]",0.004138, ,kgCO2e/g,g,TRUE,,,,,,"Painting, Generic  [Without Process]",,,,
DfS Bonus,Surface Treatment,"Painting, Generic  [Process Only]",0.950407, ,kgCO2e/kWh,kWh,TRUE,,,,,,"Painting, Generic  [Process Only]",,,,
Plastics,Plastic - HIPS,100% PCR HIPS  (PCR>97%),0.001575, ,kgCO2e/g,g,TRUE,1.06,g/cm3,,,,100% PCR HIPS  (PCR>97%),,,,
DfS Bonus,Plastic - PE,HDPE Film,0.003429, ,kgCO2e/g,g,TRUE,0.97,g/cm3,,,,HDPE Film,,,,
DfS Bonus,Plastic - PE,80% PCR HDPE Film,0.001737, ,kgCO2e/g,g,TRUE,0.97,g/cm3,,,,80% PCR HDPE Film,,,,
Plastics,Plastic - PP,PP,0.004307, ,kgCO2e/g,g,TRUE,0.9,g/cm3,,,,PP,,,,
Plastics,Plastic - PP,PP Film,0.003653, ,kgCO2e/g,g,TRUE,0.9,g/cm3,,,,PP Film,,,,
Plastics,Plastic - PP,65% PCR PP Film,0.002546, ,kgCO2e/g,g,TRUE,0.9,g/cm3,,,,65% PCR PP Film,,,,
Fabrics,Textile,PP Fibre,0.004268, ,kgCO2e/g,g,TRUE,0.9,g/cm3,,,,PP Fibre,,,,
Plastics,Foot Pad,HDPE Pad,0.003429, ,kgCO2e/g,g,TRUE,0.97,g/cm3,,,,HDPE Pad,,,,
EE - Other,Battery,"Alkaline, AA",0.080000,,kgCO2e/pcs,pcs,TRUE, ,  ,23.3,,,"Alkaline, AA",,,,
EE - Other,Battery,"Alkaline, AAA",0.038000,,kgCO2e/pcs,pcs,TRUE, ,  ,11.2,,,"Alkaline, AAA",,,,
EE - Other,Battery,"Ultimate Lithium, AA",0.267000,,kgCO2e/pcs,pcs,TRUE, ,  ,15,,,"Ultimate Lithium, AA",,,,
EE - Other,Battery,"Coin Cell, CR 2032",0.068000,,kgCO2e/pcs,pcs,TRUE, ,  ,3,,,"Coin Cell, CR 2032",,,,
EE - Other,Battery,"Coin Cell, ML 2032",0.051000,,kgCO2e/pcs,pcs,TRUE, ,  ,3,,,"Coin Cell, ML 2032",,,,
EE - Other,Battery,"Coin Cell, Li-Ion CP 1254",0.034000,,kgCO2e/pcs,pcs,TRUE, ,  ,1.6,,,"Coin Cell, Li-Ion CP 1254",,,,
EE - Other,Switch,"Mechanical Switch, Standard High Profile, Lightguide",0.009160,,kgCO2e/pcs,pcs,TRUE, ,  ,1.753,,,"Mechanical Switch, Standard High Profile, Lightguide",,,,
EE - Other,Switch,"Mechanical Switch, Standard High Profile, No Lightguide",0.007810,,kgCO2e/pcs,pcs,TRUE, ,  ,1.3,,,"Mechanical Switch, Standard High Profile, No Lightguide",,,,
EE - Other,Switch,"Mechanical Switch, High Profile, Hot Swappable, With Socket",0.008970,,kgCO2e/pcs,pcs,TRUE, ,  ,1.676,,,"Mechanical Switch, High Profile, Hot Swappable, With Socket",,,,
EE - Other,Switch,"Mechanical Switch, Low Profile, No Lightguide",0.005120,,kgCO2e/pcs,pcs,TRUE, ,  ,0.961,,,"Mechanical Switch, Low Profile, No Lightguide",,,,
EE - PCB,Rigid PCB,"Gaming Keyboard, 2 layer",0.000074,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.003104855402,,,"Gaming Keyboard, 2 layer",,,,
EE - PCB,Rigid PCB,"Gaming Mice, 4 layer",0.000164,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001576593887,,,"Gaming Mice, 4 layer",,,,
EE - PCB,Rigid PCB,"Office Mice, 2 layer, Gismo Shape",0.000103,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.002325423114,,,"Office Mice, 2 layer, Gismo Shape",,,,
EE - PCB,Rigid PCB,"Office Mice, 2 layer, Avalon Shape",0.000084,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.002383603696,,,"Office Mice, 2 layer, Avalon Shape",,,,
EE - PCB,Rigid PCB,"Office Mice, 1 layer",0.000042,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.001741907389,,,"Office Mice, 1 layer",,,,
EE - PCB,Rigid PCB,"Office Keyboard, 2 layer",0.000070,,kgCO2e/mm^2,mm^2,TRUE, ,  ,0.002542922783,,,"Office Keyboard, 2 layer",,,,
