Added by Katie,ImportRange formula in cell B3,,,,,Added by Katie,,,,,,,,,0,0,0
,,,,,,,,PRODUCT MATERIAL & COMPONENT VALUES,,,Packaging only,,,,RESULTS FOR CHARTS,,
Category Assigned for selection list,Material category,Material name,Impact value (multiply),Impact value (add),Impact unit,Auto-list taken from column E,,Density value,Density unit,Unit weight (g),Manufacturing Process,,,,Baseline *Please Make a Copy Before Editing*,*Design 01*,*Design 02*
Packaging,Bag,LDPE Foam Bag,0.00962,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, polymer foaming, printing, lamination, diecutting, heat sealing",,Molded pulp - Natural (Semi-wet press/Bamboo/Bagasse),,,,
Packaging,Hangtab,PE - white,0.007016,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,Molded pulp - Dyed (Wet press/Bamboo/Bagasse),,,,
Packaging,Bag,PE - white,0.007016,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,Molded pulp - Dyed (Semi-wet press/Bamboo/Bagasse),,,,
Packaging,Protection Wrap,PE - white,0.007016,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,Starch tray - Natural,,,,
Packaging,Molded Tray,PE - white,0.007016,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,Starch tray - Dyed,,,,
Packaging,Cushion,PE Foam,0.00611,,kgCO2e/g,g,TRUE,Plastic,,,"Polymer foaming, diecutting",,RPET - 30% - Uncolored,,,,
Packaging,Bag,PE-C (CPE) - gray,0.007673,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing, (coloring in the raw material)",,Adhesive + Artpaper,,,,
Packaging,Molded Tray,PET - Black,0.007225,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming,,Adhesive + Cellulose paper,,,,
Packaging,Clamshell,PET - Black,0.007225,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming,,Molded pulp - Natural (Wet press/Bamboo/Bagasse),,,,
Packaging,Primary Box,PET - Sealed,0.006977,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded, thermoforming, heat sealing",,PE - black,,,,
Packaging,Molded Tray,PET - Sealed,0.006977,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded, thermoforming, heat sealing",,PE - clear,,,,
Packaging,Clamshell,PET - Sealed,0.006977,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded, thermoforming, heat sealing",,Wood fiber,,,,
Packaging,Primary Box,PET plastic box assembled,0.006887,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extusion, box making (diecutting, adhesive), assembly (either by hand or automated)",,"Spunlace (plastic PP, PET, PS) cloth",,,,
Packaging,Insert,PET plastic box assembled,0.006887,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extusion, box making (diecutting, adhesive), assembly (either by hand or automated)",,"Non woven fabric (plastic PP, PET, PS) cloth",,,,
Packaging,Sleeve,PET plastic box assembled,0.006887,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extusion, box making (diecutting, adhesive), assembly (either by hand or automated)",,PP - White,,,,
Packaging,Clamshell,PET plastic box assembled,0.006887,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extusion, box making (diecutting, adhesive), assembly (either by hand or automated)",,PP - Uncolored,,,,
Packaging,Molded Tray,PET - A,0.006887,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming,,PE-C (CPE),,,,
Packaging,Clamshell,PET - A,0.006887,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming,,"B-Flute-CCNB outside liner, Kraft inside liner",,,,
Packaging,Clamshell,PETGAG,0.006639,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming,,"B-Flute-CCNB outside liner, Bleached kraft inside liner",,,,
Packaging,Molded Tray,PETGAG - sealed,0.0067,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded, thermoforming, heat sealing",,"B-Flute-Black kraft outside liner, Kraft inside liner",,,,
Packaging,Protection Wrap,POF shrink film,0.006454,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extrusion, diecutting, heating (to shrink around product)",,"B-Flute-Black kraft outside liner, Black kraft inside liner",,,,
Packaging,Bag,PP - Black,0.006389,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing (coloring included in raw material)",,EVA - White,,,,
Packaging,Molded Tray,PP - Black,0.006389,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing (coloring included in raw material)",,EPE - White,,,,
Packaging,Molded Tray,PS - Black,0.007779,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming (coloring included in raw material),,EPU - White,,,,
Packaging,Molded Tray,RPET - 30% - Black,0.006779,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded and thermoforming, coloring (is that included already?)",,EPS - White,,,,
Packaging,Clamshell,RPET - 30% - Black,0.006779,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded and thermoforming, coloring (is that included already?)",,RPET - 30% - White,,,,
Packaging,Primary Box,RPET - 30% - Uncolored-sealed,0.006441,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded, thermoforming, heat sealing",,PET - White,,,,
Packaging,Bag,"Spunlace Black (plastic PP, PET, PS) cloth",0.005779,,kgCO2e/g,g,TRUE,Plastic,,,"Fabric making?, heat sealing, coloring",,PS - White,,,,
Packaging,Protection Wrap,Synthetic paper,0.006015,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extrusion and diecutting,,"E-flute-CCNB outside liner, Bleached kraft inside liner",,,,
Packaging,Primary Box,Greyboard + SBS,0.008025,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,"E-flute-SBS outside liner, Bleached kraft inside liner",,,,
Packaging,Primary Box,"E-flute-CCNB outside liner, Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"E-flute-SBS outside liner, Black kraft inside liner",,,,
Packaging,Primary Box,"E-flute-CCNB outside liner, Bleached Kraft inside liner",0.0039,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,"E-Flute-Bleached kraft outside liner, Bleached Kraft inside liner",,,,
Packaging,Primary Box,"E-flute-SBS outside liner, Kraft inside liner",0.00385,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"E-flute-SBS outside liner, Bleached Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"E-flute-SBS outside liner, Black Kraft inside liner",0.00391,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"E-Flute-Bleached kraft outside liner, Kraft inside liner",0.00364,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"E-Flute-Bleached kraft outside liner, Bleached kraft inside liner",0.00366,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"E-Flute-Kraft outside liner, Kraft inside liner",0.00362,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"E-Flute-Black Kraft outside liner, Black kraft inside liner",0.00373,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"E-Flute-Black Kraft outside liner, Kraft inside liner",0.0037,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,Molded pulp - Natural (Semi-wet press/Bamboo/Bagasse),0.005421,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, paper forming on 2 dietools, pressing), diecutting",,,,,,
Packaging,Primary Box,Molded pulp - Dyed (Wet press/Bamboo/Bagasse),0.003658,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, dying, paper forming on 2 dietools, pressing, heating), diecutting",,,,,,
Packaging,Primary Box,Molded pulp - Dyed (Semi-wet press/Bamboo/Bagasse),0.005449,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, dying, paper forming on 2 dietools, pressing), diecutting",,,,,,
Packaging,Primary Box,Starch tray - Natural,0.004588,,kgCO2e/g,g,TRUE,Paper,,,"pulp making, injection molded",,,,,,
Packaging,Primary Box,Starch tray - Dyed,0.004616,,kgCO2e/g,g,TRUE,Paper,,,"pulp making, injection molded, dying",,,,,,
Packaging,Primary Box,RPET - 30% - Uncolored,0.006408,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming,,,,,,
Packaging,Label,Adhesive + Artpaper,0.004681,,kgCO2e/g,g,TRUE,Label,,,"Film extrusion, adhesive, paper making/ diecutting",,,,,,
Packaging,Label,Adhesive + Cellulose paper,0.00648,,kgCO2e/g,g,TRUE,Label,,,"Film extrusion, adhesive, paper making/ diecutting",,,,,,
Packaging,Insert,Greyboard + SBS,0.008025,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-flute-CCNB outside liner, Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-flute-CCNB outside liner, Bleached Kraft inside liner",0.0039,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-flute-SBS outside liner, Kraft inside liner",0.00385,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-flute-SBS outside liner, Bleached Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-flute-SBS outside liner, Black Kraft inside liner",0.00391,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-Flute-Bleached kraft outside liner, Kraft inside liner",0.00364,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-Flute-Bleached kraft outside liner, Bleached kraft inside liner",0.00366,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-Flute-Kraft outside liner, Kraft inside liner",0.00362,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-Flute-Black Kraft outside liner, Black kraft inside liner",0.00373,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"E-Flute-Black Kraft outside liner, Kraft inside liner",0.0037,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Hangtab,Molded pulp - Natural (Wet press/Bamboo/Bagasse),0.00363,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, paper forming on 2 dietools, pressing, heating), diecutting",,,,,,
Packaging,Hangtab,Molded pulp - Dyed (Wet press/Bamboo/Bagasse),0.003658,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, dying, paper forming on 2 dietools, pressing, heating), diecutting",,,,,,
Packaging,Hangtab,PE - black,0.006431,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing (coloring included in raw material)",,,,,,
Packaging,Hangtab,PE - clear,0.005609,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,,,,,
Packaging,Bag,Wood fiber,0.003196,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, diecutting, adhesive, sewing",,,,,,
Packaging,Bag,"Spunlace (plastic PP, PET, PS) cloth",0.00541,,kgCO2e/g,g,TRUE,Plastic,,,"Fabric making?, heat sealing",,,,,,
Packaging,Bag,"Non woven fabric (plastic PP, PET, PS) cloth",0.005609,,kgCO2e/g,g,TRUE,Plastic,,,Extrusion?,,,,,,
Packaging,Bag,PE - black,0.006431,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing (coloring included in raw material)",,,,,,
Packaging,Bag,PE - clear,0.005609,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,,,,,
Packaging,Bag,PP - White,0.006167,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing (coloring included in raw material)",,,,,,
Packaging,Bag,PP - Uncolored,0.006018,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,,,,,
Packaging,Bag,PE-C (CPE),0.005651,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,,,,,
Packaging,Protection Wrap,Wood fiber,0.003196,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, diecutting, adhesive, sewing",,,,,,
Packaging,Protection Wrap,PE - black,0.006431,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing (coloring included in raw material)",,,,,,
Packaging,Protection Wrap,PE - clear,0.005609,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,,,,,
Packaging,Cushion,"E-flute-CCNB outside liner, Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-flute-CCNB outside liner, Bleached Kraft inside liner",0.0039,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-flute-SBS outside liner, Kraft inside liner",0.00385,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-flute-SBS outside liner, Bleached Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-flute-SBS outside liner, Black Kraft inside liner",0.00391,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-Flute-Bleached kraft outside liner, Kraft inside liner",0.00364,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-Flute-Bleached kraft outside liner, Bleached kraft inside liner",0.00366,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-Flute-Kraft outside liner, Kraft inside liner",0.00362,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-Flute-Black Kraft outside liner, Black kraft inside liner",0.00373,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"E-Flute-Black Kraft outside liner, Kraft inside liner",0.0037,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"B-Flute-CCNB outside liner, Kraft inside liner",0.00393,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"B-Flute-CCNB outside liner, Bleached kraft inside liner",0.00395,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"B-Flute-Kraft outside liner, Kraft inside liner",0.00367,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"B-Flute-Black kraft outside liner, Kraft inside liner",0.00375,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"B-Flute-Black kraft outside liner, Black kraft inside liner",0.00379,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,"C-Flute-Kraft outside liner, Kraft inside liner",0.00373,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Cushion,EVA - White,0.006052,,kgCO2e/g,g,TRUE,Plastic,,,"Polymer foaming, coloring, diecutting",,,,,,
Packaging,Cushion,EPE - White,0.006222,,kgCO2e/g,g,TRUE,Plastic,,,"Polymer foaming, coloring, diecutting",,,,,,
Packaging,Cushion,EPU - White,0.008279,,kgCO2e/g,g,TRUE,Plastic,,,"Polymer foaming, coloring, diecutting",,,,,,
Packaging,Cushion,EPS - White,0.007366,,kgCO2e/g,g,TRUE,Plastic,,,"Polymer foaming, coloring, diecutting",,,,,,
Packaging,Molded Tray,Molded pulp - Natural (Wet press/Bamboo/Bagasse),0.00363,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, paper forming on 2 dietools, pressing, heating), diecutting",,,,,,
Packaging,Molded Tray,Molded pulp - Natural (Semi-wet press/Bamboo/Bagasse),0.005421,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, paper forming on 2 dietools, pressing), diecutting",,,,,,
Packaging,Molded Tray,Molded pulp - Dyed (Wet press/Bamboo/Bagasse),0.003658,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, dying, paper forming on 2 dietools, pressing, heating), diecutting",,,,,,
Packaging,Molded Tray,Molded pulp - Dyed (Semi-wet press/Bamboo/Bagasse),0.005449,,kgCO2e/g,g,TRUE,Paper,,,"Molded pulp process (pulping, dying, paper forming on 2 dietools, pressing), diecutting",,,,,,
Packaging,Molded Tray,Starch tray - Natural,0.004588,,kgCO2e/g,g,TRUE,Paper,,,"pulp making, injection molded",,,,,,
Packaging,Molded Tray,Starch tray - Dyed,0.004616,,kgCO2e/g,g,TRUE,Paper,,,"pulp making, injection molded, dying",,,,,,
Packaging,Molded Tray,RPET - 30% - Uncolored-sealed,0.006441,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded, thermoforming, heat sealing",,,,,,
Packaging,Molded Tray,RPET - 30% - Uncolored,0.006408,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming,,,,,,
Packaging,Molded Tray,RPET - 30% - White,0.006557,,kgCO2e/g,g,TRUE,Plastic,,,,,,,,,
Packaging,Molded Tray,PET - White,0.007003,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming (coloring included in raw material),,,,,,
Packaging,Molded Tray,PS - White,0.007557,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming (coloring included in raw material),,,,,,
Packaging,Molded Tray,PE - black,0.006431,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing (coloring included in raw material)",,,,,,
Packaging,Molded Tray,PE - clear,0.005609,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,,,,,
Packaging,Molded Tray,PP - White,0.006167,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing (coloring included in raw material)",,,,,,
Packaging,Molded Tray,PP - Uncolored,0.006018,,kgCO2e/g,g,TRUE,Plastic,,,"extrusion, blowmolding, diecutting, heat sealing",,,,,,
Packaging,Clamshell,RPET - 30% - Uncolored-sealed,0.006441,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extruded, thermoforming, heat sealing",,,,,,
Packaging,Clamshell,RPET - 30% - Uncolored,0.006408,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming,,,,,,
Packaging,Clamshell,RPET - 30% - White,0.006557,,kgCO2e/g,g,TRUE,Plastic,,,,,,,,,
Packaging,Clamshell,PET - White,0.007003,,kgCO2e/g,g,TRUE,Plastic,,,Sheet extruded and thermoforming (coloring included in raw material),,,,,,
Packaging,Primary Box,Greyboard paper,0.003805,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"B-Flute-CCNB outside liner, Kraft inside liner",0.00393,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"B-Flute-CCNB outside liner, Bleached kraft inside liner",0.00395,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Primary Box,"B-Flute-CCNB outside liner, Black kraft inside liner",0.00399,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,CCNB paper,0.004142,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,Kraft paper,0.003617,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,SBS paper,0.00422,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,Greyboard paper,0.003805,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,Greyboard + Artpaper,0.008262,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,Greyboard + SBS,0.008025,,kgCO2e/g,g,TRUE,Paper,,,"Paper making, paper box making (die-cutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"F-flute-CCNB outside liner, Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,,,,,,,
Packaging,Accessory Box,"E-flute-CCNB outside liner, Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-flute-CCNB outside liner, Bleached kraft inside liner",0.0039,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-flute-CCNB outside liner, Black inside liner (kraft liner, flood print)",0.00393,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-flute-SBS outside liner, Kraft inside liner",0.00385,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-flute-SBS outside liner, Bleached kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-flute-SBS outside liner, Black kraft inside liner",0.00391,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-Flute-Bleached kraft outside liner, Kraft inside liner",0.00364,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-Flute-Bleached kraft outside liner, Bleached Kraft inside liner",0.00366,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-Flute-Kraft outside liner, Kraft inside liner",0.00362,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-Flute-Black Kraft outside liner, Black kraft inside liner",0.00373,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,"E-Flute-Black Kraft outside liner, Kraft inside liner",0.0037,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Accessory Box,PET plastic box assembled,0.006887,,kgCO2e/g,g,TRUE,Plastic,,,"Sheet extusion, box making (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"F-flute-CCNB outside liner, Kraft inside liner",0.00387,,kgCO2e/g,g,TRUE,Corrugated,,,,,,,,,
Packaging,Insert,"B-Flute-Kraft outside liner, Kraft inside liner",0.00367,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
Packaging,Insert,"B-Flute-Black kraft outside liner, Kraft inside liner",0.00375,,kgCO2e/g,g,TRUE,Corrugated,,,"Paper making, corrugation, diecutting, boxmaking (diecutting, adhesive), assembly (either by hand or automated)",,,,,,
